Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2014,SE_ACS_ELECT,,ISCED11_1,PT,,43.8
2015,SE_ACS_ELECT,,ISCED11_1,PT,,71.7
2016,SE_ACS_ELECT,,ISCED11_1,PT,,80.5
2019,SE_ACS_ELECT,,ISCED11_1,PT,,97.0
2020,SE_ACS_ELECT,,ISCED11_1,PT,,97.0
2023,SE_ACS_ELECT,,ISCED11_1,PT,,87.4
2020,SE_ACS_INTNT,,ISCED11_1,PT,,39.1
2022,SE_ACS_INTNT,,ISCED11_1,PT,,42.9
2014,SE_ACS_ELECT,,_L_KE_3,PT,,75.3
2015,SE_ACS_ELECT,,_L_KE_3,PT,,83.3
2016,SE_ACS_ELECT,,_L_KE_3,PT,,87.0
2021,SE_ACS_ELECT,,_L_KE_3,PT,,100.0
2024,SE_ACS_ELECT,,_L_KE_3,PT,,99.0
2020,SE_ACS_INTNT,,_L_KE_3,PT,,34.0
2024,SE_ACS_INTNT,,_L_KE_3,PT,,59.0
2021,SE_ACS_CMPTR,,_L_KE_3,PT,,67.0
2024,SE_ACS_CMPTR,,_L_KE_3,PT,,60.0
