Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,_L_KE_070101_01,,,PT,A,0,,36.0
2016,_L_KE_070101_01,,,PT,A,0,,41.5
2018,_L_KE_070101_01,,,PT,A,0,,46.0
2019,_L_KE_070101_01,,,PT,A,0,,50.4
2022,_L_KE_070101_01,,,PT,A,0,,49.6
2024,_L_KE_070101_01,,,PT,A,0,,58.1
2014,_L_KE_070101_01,,R,PT,A,0,,12.6
2016,_L_KE_070101_01,,R,PT,A,0,,17.4
2022,_L_KE_070101_01,,R,PT,A,0,,29.9
2024,_L_KE_070101_01,,R,PT,A,0,,37.3
2014,_L_KE_070101_01,,U,PT,A,0,,68.4
2016,_L_KE_070101_01,,U,PT,A,0,,73.4
2022,_L_KE_070101_01,,U,PT,A,0,,88.6
2024,_L_KE_070101_01,,U,PT,A,0,,91.0
2019,_L_KE_070101_02,,,PT,A,0,,69.8
2024,_L_KE_070101_02,,,PT,A,0,,65.5
2024,_L_KE_070101_02,,R,PT,A,0,,48.9
2024,_L_KE_070101_02,,U,PT,A,0,,91.8
2022,_L_KE_070101_03,,,PT,A,0,,49.6
2024,_L_KE_070101_03,,,PT,A,0,,60.6
2022,_L_KE_070101_03,,R,PT,A,0,,29.9
2024,_L_KE_070101_03,,R,PT,A,0,,46.5
2022,_L_KE_070101_03,,U,PT,A,0,,88.6
2024,_L_KE_070101_03,,U,PT,A,0,,90.9
2014,EG_ACS_ELEC,,,PT,A,0,,35.3
2016,EG_ACS_ELEC,,,PT,A,0,,33.8
2019,EG_ACS_ELEC,,,PT,A,0,,49.7
2024,EG_ACS_ELEC,,,PT,A,0,,51.5
2014,EG_ACS_ELEC,,R,PT,A,0,,11.5
2024,EG_ACS_ELEC,,R,PT,A,0,,33.6
2014,EG_ACS_ELEC,,U,PT,A,0,,69.7
2024,EG_ACS_ELEC,,U,PT,A,0,,90.0
