Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2016,_L_KE_050a01_01,,M,,PT,A,0,2016,,68.3
2016,SP_GNP_WNOWNS,,F,,PT,A,0,2016,,31.7
2022,SP_LGL_LNDAGSEC,,F,,PT,A,0,2022,,25.4
2022,SP_LGL_LNDAGSEC,,F,R,PT,A,0,2022,,33.4
2022,SP_LGL_LNDAGSEC,,F,U,PT,A,0,2022,,10.0
