Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,_L_KE_010401_02,,PT,,33.8
2022,_L_KE_010401_02,,PT,,49.6
2024,_L_KE_010401_02,,PT,,65.5
