Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2015,A,0,_L_KE_171201_01,,PT,2023,,9.0
2016,A,0,_L_KE_171201_01,,PT,2023,,10.0
2017,A,0,_L_KE_171201_01,,PT,2023,,9.8
2018,A,0,_L_KE_171201_01,,PT,2023,,10.6
2019,A,0,_L_KE_171201_01,,PT,2023,,11.1
2020,A,0,_L_KE_171201_01,,PT,2023,,10.8
2021,A,0,_L_KE_171201_01,,PT,2023,,10.0
2022,A,0,_L_KE_171201_01,,PT,2023,,9.1
2023,A,0,_L_KE_171201_01,,PT,2023,,11.5
