Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,12.1
2015,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,12.9
2016,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,12.7
2017,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,12.3
2018,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,12.2
2019,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,12.1
2020,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,11.6
2021,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,11.6
2022,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,11.7
2023,A,0,Formal sector,Economic Survey,SL_TLF_MANF,,PT,2023,,11.5
