Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2018,_L_KE_171501_01,,PT,A,0,2020,,70
2020,_L_KE_171501_01,,PT,A,0,2020,,99
