Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,2014: KDHS                  2018: PMA                    2022: KDHS,SP_DYN_MRBF15,,F,PT,2022,,4.4
2018,A,0,2014: KDHS                  2018: PMA                    2022: KDHS,SP_DYN_MRBF15,,F,PT,2022,,2.6
2022,A,0,2014: KDHS                  2018: PMA                    2022: KDHS,SP_DYN_MRBF15,,F,PT,2022,,2.2
2014,A,0,2014: KDHS                  2018: PMA                    2022: KDHS,SP_DYN_MRBF18,,F,PT,2022,,22.9
2018,A,0,2014: KDHS                  2018: PMA                    2022: KDHS,SP_DYN_MRBF18,,F,PT,2022,,14.3
2022,A,0,2014: KDHS                  2018: PMA                    2022: KDHS,SP_DYN_MRBF18,,F,PT,2022,,12.5
