Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,84.7
2015,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,81.6
2016,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,81.9
2017,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,82.2
2018,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,82.6
2019,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,83.0
2020,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,83.4
2021,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,83.3
2022,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,83.4
2023,A,0,Economic Survey,SL_ISV_IFEM,,PT,2023,,85.0
