Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2015,TM_TRF_ZERO,,PT,A,0,2023,Customs Authority,,36.9
2016,TM_TRF_ZERO,,PT,A,0,2023,Customs Authority,,37.1
2017,TM_TRF_ZERO,,PT,A,0,2023,Customs Authority,,37.3
2018,TM_TRF_ZERO,,PT,A,0,2023,Customs Authority,,34.4
2019,TM_TRF_ZERO,,PT,A,0,2023,Customs Authority,,35.4
2020,TM_TRF_ZERO,,PT,A,0,2023,Customs Authority,,37.4
2021,TM_TRF_ZERO,,PT,A,0,2023,Customs Authority,,37.8
2022,TM_TRF_ZERO,,PT,A,0,2023,Customs Authority,,39.7
2023,TM_TRF_ZERO,,PT,A,0,2023,Customs Authority,,32.4
