Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,SL_TLF_UEM,,,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.7
2016,SL_TLF_UEM,,,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.4
2019,SL_TLF_UEM,,,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.3
2020,SL_TLF_UEM,,,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.2
2021,SL_TLF_UEM,,,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.6
2022,SL_TLF_UEM,,,,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.8
2019,SL_TLF_UEM,,,,R,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.6
2020,SL_TLF_UEM,,,,R,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.4
2021,SL_TLF_UEM,,,,R,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.9
2022,SL_TLF_UEM,,,,R,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.1
2019,SL_TLF_UEM,,,,U,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.7
2020,SL_TLF_UEM,,,,U,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,12.2
2021,SL_TLF_UEM,,,,U,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.3
2022,SL_TLF_UEM,,,,U,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,8.7
2014,SL_TLF_UEM,,,Y15T19,,PT,A,0,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,17.3
