Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2015,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2016,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2017,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2018,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2019,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2020,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2021,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2022,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2023,ER_PTD_FRHWTR,,PT,A,0,2023,,0.76
2014,ER_PTD_TERR,,PT,A,0,2023,,7.74
2015,ER_PTD_TERR,,PT,A,0,2023,,7.74
2016,ER_PTD_TERR,,PT,A,0,2023,,7.74
2017,ER_PTD_TERR,,PT,A,0,2023,,7.74
2018,ER_PTD_TERR,,PT,A,0,2023,,7.74
2019,ER_PTD_TERR,,PT,A,0,2023,,7.74
2020,ER_PTD_TERR,,PT,A,0,2023,,7.74
2021,ER_PTD_TERR,,PT,A,0,2023,,7.74
2022,ER_PTD_TERR,,PT,A,0,2023,,7.74
2023,ER_PTD_TERR,,PT,A,0,2023,,7.74
