Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,ER_BDY_ABT2NP,,BOOL,A,0,,1
2015,ER_BDY_ABT2NP,,BOOL,A,0,,1
2016,ER_BDY_ABT2NP,,BOOL,A,0,,1
2017,ER_BDY_ABT2NP,,BOOL,A,0,,1
2018,ER_BDY_ABT2NP,,BOOL,A,0,,1
2019,ER_BDY_ABT2NP,,BOOL,A,0,,1
2020,ER_BDY_ABT2NP,,BOOL,A,0,,1
2021,ER_BDY_ABT2NP,,BOOL,A,0,,1
2022,ER_BDY_ABT2NP,,BOOL,A,0,,1
2023,ER_BDY_ABT2NP,,BOOL,A,0,,1
2024,ER_BDY_ABT2NP,,BOOL,A,0,,1
2014,ER_BDY_SEEA,,BOOL,A,0,,0
2015,ER_BDY_SEEA,,BOOL,A,0,,0
2016,ER_BDY_SEEA,,BOOL,A,0,,0
2017,ER_BDY_SEEA,,BOOL,A,0,,0
2018,ER_BDY_SEEA,,BOOL,A,0,,0
2019,ER_BDY_SEEA,,BOOL,A,0,,0
2020,ER_BDY_SEEA,,BOOL,A,0,,0
2021,ER_BDY_SEEA,,BOOL,A,0,,0
2022,ER_BDY_SEEA,,BOOL,A,0,,0
2023,ER_BDY_SEEA,,BOOL,A,0,,0
2024,ER_BDY_SEEA,,BOOL,A,0,,0
