Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_KE_010501_01,,PER_1000000_POP,,3151
2018,_L_KE_010501_01,,PER_1000000_POP,,3019
2019,_L_KE_010501_01,,PER_1000000_POP,,2759
2021,_L_KE_010501_01,,PER_1000000_POP,,2399
2015,_L_KE_010501_02,,NUMBER,,1500000
2018,_L_KE_010501_02,,NUMBER,,1401058
2019,_L_KE_010501_02,,NUMBER,,1313374
2021,_L_KE_010501_02,,NUMBER,,1192393
2023,_L_KE_010501_02,,NUMBER,,655327
2024,_L_KE_010501_02,,NUMBER,,471238
2018,VC_DSR_MORT,,NUMBER,,187
2019,VC_DSR_MORT,,NUMBER,,305
2021,VC_DSR_MORT,,NUMBER,,139
2023,VC_DSR_MORT,,NUMBER,,151
2024,VC_DSR_MORT,,NUMBER,,146
2018,VC_DSR_IJILN,,NUMBER,,56
2019,VC_DSR_IJILN,,NUMBER,,82
2021,VC_DSR_IJILN,,NUMBER,,17
2024,VC_DSR_IJILN,,NUMBER,,188
2019,VC_DSR_MISS,,NUMBER,,17
2021,VC_DSR_MISS,,NUMBER,,1
2018,_L_KE_010501_06,,NUMBER,,269515
2019,_L_KE_010501_06,,NUMBER,,396855
2021,_L_KE_010501_06,,NUMBER,,158472
2023,_L_KE_010501_06,,NUMBER,,109581
2024,_L_KE_010501_06,,NUMBER,,58641
2018,_L_KE_010501_07,,NUMBER,,1131300
2019,_L_KE_010501_07,,NUMBER,,916115
2021,_L_KE_010501_07,,NUMBER,,1033764
2023,_L_KE_010501_07,,NUMBER,,545595
2024,_L_KE_010501_07,,NUMBER,,412263
2018,_L_KE_010501_03,,NUMBER,,269515
2019,_L_KE_010501_03,,NUMBER,,396855
2021,_L_KE_010501_03,,NUMBER,,158472
2023,_L_KE_010501_03,,NUMBER,,109581
2024,_L_KE_010501_03,,NUMBER,,58641
2018,_L_KE_010501_04,,NUMBER,,1131300
2019,_L_KE_010501_04,,NUMBER,,916115
2021,_L_KE_010501_04,,NUMBER,,1033764
2023,_L_KE_010501_04,,NUMBER,,545595
2024,_L_KE_010501_04,,NUMBER,,412263
2018,_L_KE_130101_03,,NUMBER,,187
2019,_L_KE_130101_03,,NUMBER,,305
2021,_L_KE_130101_03,,NUMBER,,139
2023,_L_KE_130101_03,,NUMBER,,175
2024,_L_KE_130101_03,,NUMBER,,315
