Year,SERIES,REF_AREA,OCCUPATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,21.0
2015,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,21.0
2016,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,23.4
2017,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,24.1
2018,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,25.1
2019,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,18.0
2020,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,19.0
2021,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,19.0
2022,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,19.0
2023,SH_MED_DEN,,ISCO08_221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,19.0
2014,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,165.0
2015,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,151.0
2016,SH_MED_DEN,,ISCO08_2221_3221,PER_100000_POP,A,0,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,167.4
