Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,GeoCode,Value
2014,_L_KE_130201_01,,BOOL,A,0,2022,National Climate Change Response Strategy 2010; National Climate Change Action Plan 2018-2022; Kenya Independent Nationally Determined Contribution(INDC) 2015; The Climate Change Act 2016; National Climate Change Framework policy 2016; Kenya National Adaptation Plan 2015-2030.,,1
2015,_L_KE_130201_01,,BOOL,A,0,2022,National Climate Change Response Strategy 2010; National Climate Change Action Plan 2018-2022; Kenya Independent Nationally Determined Contribution(INDC) 2015; The Climate Change Act 2016; National Climate Change Framework policy 2016; Kenya National Adaptation Plan 2015-2030.,,1
2016,_L_KE_130201_01,,BOOL,A,0,2022,National Climate Change Response Strategy 2010; National Climate Change Action Plan 2018-2022; Kenya Independent Nationally Determined Contribution(INDC) 2015; The Climate Change Act 2016; National Climate Change Framework policy 2016; Kenya National Adaptation Plan 2015-2030.,,1
2017,_L_KE_130201_01,,BOOL,A,0,2022,National Climate Change Response Strategy 2010; National Climate Change Action Plan 2018-2022; Kenya Independent Nationally Determined Contribution(INDC) 2015; The Climate Change Act 2016; National Climate Change Framework policy 2016; Kenya National Adaptation Plan 2015-2030.,,1
2018,_L_KE_130201_01,,BOOL,A,0,2022,National Climate Change Response Strategy 2010; National Climate Change Action Plan 2018-2022; Kenya Independent Nationally Determined Contribution(INDC) 2015; The Climate Change Act 2016; National Climate Change Framework policy 2016; Kenya National Adaptation Plan 2015-2030.,,1
2019,_L_KE_130201_01,,BOOL,A,0,2022,National Climate Change Response Strategy 2010; National Climate Change Action Plan 2018-2022; Kenya Independent Nationally Determined Contribution(INDC) 2015; The Climate Change Act 2016; National Climate Change Framework policy 2016; Kenya National Adaptation Plan 2015-2030.,,1
2020,_L_KE_130201_01,,BOOL,A,0,2022,National Climate Change Response Strategy 2010; National Climate Change Action Plan 2018-2022; Kenya Independent Nationally Determined Contribution(INDC) 2015; The Climate Change Act 2016; National Climate Change Framework policy 2016; Kenya National Adaptation Plan 2015-2030.,,1
2021,_L_KE_130201_01,,BOOL,A,0,2022,National Climate Change Response Strategy 2010; National Climate Change Action Plan 2018-2022; Kenya Independent Nationally Determined Contribution(INDC) 2015; The Climate Change Act 2016; National Climate Change Framework policy 2016; Kenya National Adaptation Plan 2015-2030.,,1
2022,_L_KE_130201_01,,BOOL,A,0,2022,National Climate Change Response Strategy 2010; National Climate Change Action Plan 2018-2022; Kenya Independent Nationally Determined Contribution(INDC) 2015; The Climate Change Act 2016; National Climate Change Framework policy 2016; Kenya National Adaptation Plan 2015-2030.,,1
