Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,VC_VAW_SXVLN,,F,PT,A,0,,9.5
2022,VC_VAW_SXVLN,,F,PT,A,0,,4.9
2022,VC_VAW_SXVLN,,M,PT,A,0,,2.6
