Year,COMMENT_OBS,SERIES,Value
2014,Proportion of urban population living in a household that lacks one of the four housing conditions,_L_KE_110101_01,34.9
2019,Proportion of urban population living in a household that lacks one of the four housing conditions,_L_KE_110101_01,37.2
2014,Proportion of urban population living in a household that lacks two of the four housing conditions,_L_KE_110101_02,23.2
2019,Proportion of urban population living in a household that lacks two of the four housing conditions,_L_KE_110101_02,14.9
2014,Proportion of urban population living in a household that three of the four housing conditions,_L_KE_110101_03,10.6
2019,Proportion of urban population living in a household that three of the four housing conditions,_L_KE_110101_03,4.2
2014,Proportion of urban population living in a household that lacks all the four housing conditions,_L_KE_110101_04,2.7
2019,Proportion of urban population living in a household that lacks all the four housing conditions,_L_KE_110101_04,0.9
2014,"Proportion of urban population lacking at least one of the one of the four housing conditions (Access to improved water; Access to improved sanitation facilities; Sufficient-living area, not overcrowded;housing durability)",_L_KE_110101_05,71.4
2019,"Proportion of urban population lacking at least one of the one of the four housing conditions (Access to improved water; Access to improved sanitation facilities; Sufficient-living area, not overcrowded;housing durability)",_L_KE_110101_05,57.3
2014,Proportion of urban population living in informal settlements,EN_LND_SLUM,7.9
2019,Proportion of urban population living in informal settlements,EN_LND_SLUM,6.9
