Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,GeoCode,Value
2023,_L_KE_171301_06,,PT,A,0,2023,Economic Survey,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,,-6.3
2014,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,73.1
2015,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,76.0
2016,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,78.8
2017,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,75.5
2018,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,68.0
2019,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,68.0
2020,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,74.9
2021,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,73.3
2022,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,75.3
2023,_L_KE_171301_07,,IX,A,0,2023,Economic Survey,Terms of Trade for all items,,71.4
2014,_L_KE_171301_08,,PT,A,0,2022,"KPHC 2019, KCHSP 2020, KCHSP 2021",,,9.7
2016,_L_KE_171301_08,,PT,A,0,2022,"KPHC 2019, KCHSP 2020, KCHSP 2021",,,7.4
2019,_L_KE_171301_08,,PT,A,0,2022,"KPHC 2019, KCHSP 2020, KCHSP 2021",,,13.7
2020,_L_KE_171301_08,,PT,A,0,2022,"KPHC 2019, KCHSP 2020, KCHSP 2021",,,7.2
2021,_L_KE_171301_08,,PT,A,0,2022,"KPHC 2019, KCHSP 2020, KCHSP 2021",,,6.1
2022,_L_KE_171301_08,,PT,A,0,2022,"KPHC 2019, KCHSP 2020, KCHSP 2021",,,5.8
2014,_L_KE_171301_09,,MO,A,0,2023,CBK,,,5.0
2015,_L_KE_171301_09,,MO,A,0,2023,CBK,,,4.8
2016,_L_KE_171301_09,,MO,A,0,2023,CBK,,,5.0
2017,_L_KE_171301_09,,MO,A,0,2023,CBK,,,5.0
2018,_L_KE_171301_09,,MO,A,0,2023,CBK,,,5.3
2019,_L_KE_171301_09,,MO,A,0,2023,CBK,,,5.5
2020,_L_KE_171301_09,,MO,A,0,2023,CBK,,,5.1
2021,_L_KE_171301_09,,MO,A,0,2023,CBK,,,5.7
2022,_L_KE_171301_09,,MO,A,0,2023,CBK,,,4.5
2023,_L_KE_171301_09,,MO,A,0,2023,CBK,,,3.9
2014,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-10.4
2015,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-6.9
2016,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-5.8
2017,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-7.0
2018,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-5.4
2019,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-5.2
2020,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-4.8
2021,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-5.2
2022,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-5.2
2023,BN_CAB_XOKA_GD_ZS,,PT,A,0,2023,Economic Survey,,,-4.0
2014,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,-3716.9
2015,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,155.1
2016,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,377.5
2017,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,731.1
2018,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,-649.0
2019,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,-458.1
2020,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,1313.3
2021,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,203.6
2022,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,706.7
2023,BN_KLT_PTXL_CD,,USD,A,0,2023,Economic Survey,BOP,,645.5
2014,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,2023,Economic Survey,BOP,,1.3
