Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,8882.0
2015,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,8993.2
2016,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,9791.9
2017,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,10118.2
2018,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,11721.7
2019,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,12011.0
2020,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,4450.1
2021,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,6703.0
2022,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,10239.0
2023,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,2023,,12206.0
2014,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,1126.0
2015,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,5072.0
2016,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,2298.0
2017,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,2342.0
2018,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,3025.0
2019,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,3165.0
2020,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,1924.0
2021,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,930.0
2022,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,4731.0
2023,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,2023,,3390.0
2014,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,3715.0
2015,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,2288.0
2016,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,2793.0
2017,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,3096.0
2018,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,4490.0
2019,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,5624.0
2020,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,2705.0
2021,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,6491.0
2022,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,5822.0
2023,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,2023,,6183.0
2014,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,313031.0
2015,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,322161.0
2016,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,333114.0
2017,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,727871.0
2018,_L_KE_090102_01,,MOT_ROA,KES,A,6,2023,,835109.0
