Year,SERIES,Value
2015,_L_KE_160601_01,97.9
2016,_L_KE_160601_01,98.8
2017,_L_KE_160601_01,95.5
2018,_L_KE_160601_01,98.9
2019,_L_KE_160601_01,121.9
2020,_L_KE_160601_01,86.7
2021,_L_KE_160601_01,121.7
2022,_L_KE_160601_01,112.5
2023,_L_KE_160601_01,119.6
2015,_L_KE_160601_02,83.6
2016,_L_KE_160601_02,70.7
2017,_L_KE_160601_02,82.2
2018,_L_KE_160601_02,73.4
2019,_L_KE_160601_02,104.4
2020,_L_KE_160601_02,102.2
2021,_L_KE_160601_02,86.3
2022,_L_KE_160601_02,73.7
2023,_L_KE_160601_02,63.8
2015,GF_XPD_GBPC,93.2
2016,GF_XPD_GBPC,90.3
2017,GF_XPD_GBPC,91.5
2018,GF_XPD_GBPC,92.7
2019,GF_XPD_GBPC,118.0
2020,GF_XPD_GBPC,89.9
2021,GF_XPD_GBPC,112.0
2022,GF_XPD_GBPC,103.6
2023,GF_XPD_GBPC,106.8
