Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,7.07
2015,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,7.16
2016,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,7.21
2017,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,7.28
2018,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,7.28
2019,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,7.14
2020,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,7.14
2021,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,8.83
2022,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,8.83
2023,A,0,Economic Survey,AG_LND_FRST,,PT,2023,,8.83
