Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,33.6
2015,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,33.9
2016,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,33.6
2017,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,33.8
2018,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,41.0
2019,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,43.5
2020,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,43.0
2021,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,46.8
2022,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,52.1
2023,EG_EGY_RNEW,,W_PER_CAPITA,A,0,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,51.1
