Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2019,_L_KE_040301_01,,,,PT,A,0,2024,,21.9
2024,_L_KE_040301_01,,,,PT,A,0,2024,,55.9
2019,_L_KE_040301_01,,,R,PT,A,0,2024,,14.6
2024,_L_KE_040301_01,,,R,PT,A,0,2024,,58.7
2019,_L_KE_040301_01,,,U,PT,A,0,2024,,36.5
2024,_L_KE_040301_01,,,U,PT,A,0,2024,,50.0
2019,_L_KE_040301_01,,F,,PT,A,0,2024,,20.4
2024,_L_KE_040301_01,,F,,PT,A,0,2024,,53.8
2019,_L_KE_040301_01,,M,,PT,A,0,2024,,23.5
2024,_L_KE_040301_01,,M,,PT,A,0,2024,,58.2
