Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,SG_DSR_SFDRR,,BOOL,A,0,2022,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),,1
2015,SG_DSR_SFDRR,,BOOL,A,0,2022,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),,1
2016,SG_DSR_SFDRR,,BOOL,A,0,2022,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),,1
2017,SG_DSR_SFDRR,,BOOL,A,0,2022,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),,1
2018,SG_DSR_SFDRR,,BOOL,A,0,2022,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),,1
2019,SG_DSR_SFDRR,,BOOL,A,0,2022,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),,1
2020,SG_DSR_SFDRR,,BOOL,A,0,2022,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),,1
2021,SG_DSR_SFDRR,,BOOL,A,0,2022,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),,1
2022,SG_DSR_SFDRR,,BOOL,A,0,2022,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),,1
