Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2016,_L_KE_170102_01,,PT,A,0,,27.9
2017,_L_KE_170102_01,,PT,A,0,,27.5
2018,_L_KE_170102_01,,PT,A,0,,24.9
2019,_L_KE_170102_01,,PT,A,0,,23.8
2020,_L_KE_170102_01,,PT,A,0,,27.2
2021,_L_KE_170102_01,,PT,A,0,,25.4
2022,_L_KE_170102_01,,PT,A,0,,29.3
2023,_L_KE_170102_01,,PT,A,0,,29.9
2016,_L_KE_170102_02,,PT,A,0,,14.3
2017,_L_KE_170102_02,,PT,A,0,,14.9
2018,_L_KE_170102_02,,PT,A,0,,13.9
2019,_L_KE_170102_02,,PT,A,0,,14.4
2020,_L_KE_170102_02,,PT,A,0,,14.8
2021,_L_KE_170102_02,,PT,A,0,,15.0
2022,_L_KE_170102_02,,PT,A,0,,17.5
2023,_L_KE_170102_02,,PT,A,0,,17.5
2016,_L_KE_170102_03,,PT,A,0,,13.6
2017,_L_KE_170102_03,,PT,A,0,,11.0
2018,_L_KE_170102_03,,PT,A,0,,10.7
2019,_L_KE_170102_03,,PT,A,0,,10.2
2020,_L_KE_170102_03,,PT,A,0,,11.2
2021,_L_KE_170102_03,,PT,A,0,,12.8
2022,_L_KE_170102_03,,PT,A,0,,12.2
2023,_L_KE_170102_03,,PT,A,0,,11.9
2016,_L_KE_170102_04,,PT,A,0,,5.1
2017,_L_KE_170102_04,,PT,A,0,,5.8
2018,_L_KE_170102_04,,PT,A,0,,5.4
2019,_L_KE_170102_04,,PT,A,0,,5.3
2020,_L_KE_170102_04,,PT,A,0,,5.8
2021,_L_KE_170102_04,,PT,A,0,,6.5
2022,_L_KE_170102_04,,PT,A,0,,6.9
2023,_L_KE_170102_04,,PT,A,0,,5.9
2014,GC_GOB_TAXD,,PT,A,0,,59.6
2015,GC_GOB_TAXD,,PT,A,0,,53.0
2016,GC_GOB_TAXD,,PT,A,0,,58.2
2017,GC_GOB_TAXD,,PT,A,0,,59.1
2018,GC_GOB_TAXD,,PT,A,0,,54.8
2019,GC_GOB_TAXD,,PT,A,0,,64.0
2020,GC_GOB_TAXD,,PT,A,0,,59.0
2021,GC_GOB_TAXD,,PT,A,0,,59.7
2022,GC_GOB_TAXD,,PT,A,0,,65.9
2023,GC_GOB_TAXD,,PT,A,0,,65.3
