Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2022,A,0,SE_DEV_ONTRK,,,PT,2022,,78.0
2022,A,0,SE_DEV_ONTRK,,F,PT,2022,,79.8
2022,A,0,SE_DEV_ONTRK,,M,PT,2022,,76.4
