Year,SOURCE_DETAIL,Age,Value
2014,Economic Survey,10 to 14 years old,2.0
2022,Economic Survey,10 to 14 years old,2.0
2014,"2014: KDHS        Economic Survey , 2022: KDHS",15 to 19 years old,96.0
2022,"2014: KDHS        Economic Survey , 2022: KDHS",15 to 19 years old,73.0
