Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2020,_L_KE_161001_01,,NUMBER,A,0,2024,,105
2021,_L_KE_161001_01,,NUMBER,A,0,2024,,54
2022,_L_KE_161001_01,,NUMBER,A,0,2024,,18
2023,_L_KE_161001_01,,NUMBER,A,0,2024,,64
2024,_L_KE_161001_01,,NUMBER,A,0,2024,,68
2020,_L_KE_161001_02,,NUMBER,A,0,2024,,0
2021,_L_KE_161001_02,,NUMBER,A,0,2024,,0
2022,_L_KE_161001_02,,NUMBER,A,0,2024,,0
2023,_L_KE_161001_02,,NUMBER,A,0,2024,,0
2024,_L_KE_161001_02,,NUMBER,A,0,2024,,6
2020,_L_KE_161001_03,,NUMBER,A,0,2024,,96
2021,_L_KE_161001_03,,NUMBER,A,0,2024,,36
2022,_L_KE_161001_03,,NUMBER,A,0,2024,,12
2023,_L_KE_161001_03,,NUMBER,A,0,2024,,5
2024,_L_KE_161001_03,,NUMBER,A,0,2024,,25
2020,_L_KE_161001_04,,NUMBER,A,0,2024,,0
2021,_L_KE_161001_04,,NUMBER,A,0,2024,,0
2022,_L_KE_161001_04,,NUMBER,A,0,2024,,0
2023,_L_KE_161001_04,,NUMBER,A,0,2024,,1
2024,_L_KE_161001_04,,NUMBER,A,0,2024,,17
2020,_L_KE_161001_05,,NUMBER,A,0,2024,,6
2021,_L_KE_161001_05,,NUMBER,A,0,2024,,14
2022,_L_KE_161001_05,,NUMBER,A,0,2024,,3
2023,_L_KE_161001_05,,NUMBER,A,0,2024,,48
2024,_L_KE_161001_05,,NUMBER,A,0,2024,,14
2020,VC_VAW_MTUHRA,,NUMBER,A,0,2024,,1
2021,VC_VAW_MTUHRA,,NUMBER,A,0,2024,,4
2022,VC_VAW_MTUHRA,,NUMBER,A,0,2024,,3
2023,VC_VAW_MTUHRA,,NUMBER,A,0,2024,,9
2024,VC_VAW_MTUHRA,,NUMBER,A,0,2024,,4
2020,VC_VOC_ENFDIS,,NUMBER,A,0,2024,,2
2021,VC_VOC_ENFDIS,,NUMBER,A,0,2024,,0
2022,VC_VOC_ENFDIS,,NUMBER,A,0,2024,,0
2023,VC_VOC_ENFDIS,,NUMBER,A,0,2024,,1
2024,VC_VOC_ENFDIS,,NUMBER,A,0,2024,,2
