Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,SH_XPD_EARN10,,PT,A,0,2018,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",,12.7
2016,SH_XPD_EARN10,,PT,A,0,2018,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",,8.6
2018,SH_XPD_EARN10,,PT,A,0,2018,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",,8.0
2014,SH_XPD_EARN25,,PT,A,0,2018,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",,6.2
2016,SH_XPD_EARN25,,PT,A,0,2018,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",,4.8
2018,SH_XPD_EARN25,,PT,A,0,2018,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",,4.9
