Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2014,Proportion of population aged 18-29 years who experienced sexual violence by age 18 [16.2.3],,Female,Percent,,9.5
2022,Proportion of population aged 18-29 years who experienced sexual violence by age 18 [16.2.3],,Female,Percent,,4.9
2022,Proportion of population aged 18-29 years who experienced sexual violence by age 18 [16.2.3],,Male,Percent,,2.6
