Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y25T29,,PT,2022,,7.9
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y25T29,,PT,2022,,10.2
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y25T29,,PT,2022,,9.2
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y25T29,,PT,2022,,10.2
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y30T34,,PT,2022,,7.2
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y30T34,,PT,2022,,4.6
2019,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y30T34,,PT,2022,,3.9
2020,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y30T34,,PT,2022,,6.4
2021,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y30T34,,PT,2022,,6.0
2022,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y30T34,,PT,2022,,3.5
2014,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y35T39,,PT,2022,,6.1
2016,A,0,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",SL_TLF_UEM,,,Y35T39,,PT,2022,,3.7
