Value,Disaggregation combinations using this value,Number of indicators
"2014: KDHS,        2016: KIHBS                2022: KDHS",1,1
"2014: KDHS,      2016: KIHBS                2022: KDHS",1,1
"2014: KDHS,     2016: KIHBS                2022: KDHS",1,1
"2014: KDHS,   2016: KIHBS,  2022:KDHS",6,1
"2014: KDHS        Economic Survey , 2022: KDHS",1,1
2014: KDHS,4,2
2014: Kenya Child Poverty Study (KNBS & Unicef)                       2019: Inequalities in Wellbeing in Kenya based on 2009 and 2019 KPHC-MODA Methodology,3,1
2015: Uwezo Kenya Sixth Learning Assessment Report,3,1
"2016:  KIHBS , 2019-21: KCHS",2,1
"2016:  KIHBS, 2019-21: KCHS",1,1
2016:  KIHBS,2,1
"2019: KPHC, Others: Civil Registration Services",2,1
2022 KCHS,3,1
Basic Education Statistical Booklets,3,1
"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",5,1
"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",3,1
Basic Education Statistics Booklet,3,1
CBK,2,1
Economic Survey,29,7
"Judiciary, SOJAR Report",6,1
Kenya National Disaster Operations Centre (NDOC),24,3
Kisumu County,2,2
"KNBS, Economic Survey Report (Several  editions)",1,1
KNBS,2,2
"KPHC 2019, KCHSP 2020, KCHSP 2021",1,1
Mombasa County,2,2
Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,6,1
Nairobi City County,2,2
Nakuru Coutny,2,2
Parliamentary Service Commision; Council of Governors,6,1
"Source: The World Bank, Remittance Prices Worldwide, available at http://remittanceprices.worldbank.org""",1,1
"Treasury, Economic Survey",2,1
