Indicator,Disaggregation combinations using this value
#1-2-1,1
#1-3-1,1
#1-4-2,3
#10-2-1,1
#16-1-1,1
#16-1-3,1
#16-2-3,1
#16-3-2,1
#16-7-1,13
#16-9-1,1
#17-8-1,1
#2-2-1,1
#2-2-2,2
#3-2-1,1
#3-2-2,1
#3-3-1,1
#3-7-1,3
#3-7-2,2
#3-a-1,1
#4-1-1,6
#4-1-2,2
#4-2-1,1
#4-2-2,1
#4-3-1,1
#5-2-1,50
#5-2-2,10
#5-3-1,2
#5-3-2,10
#5-4-1,8
#5-5-1,4
#5-5-2,3
#5-6-1,10
#5-a-1,4
#5-b-1,1
#8-10-2,1
#8-5-2,1
#8-6-1,1
#8-7-1,2
