Value,Disaggregation combinations using this value,Number of indicators
10 to 14 years old,3,3
14-17 years,2,2
15 to 17 years old,1,1
15 to 19 years old,13,9
15 to 24 years old,5,3
15 to 64 years old,2,2
18-25,3,3
18-34 years,3,3
18 to 44 years old,2,1
20-34,1,1
20 to 24 years old,11,7
25-59,1,1
25 to 29 years old,11,7
25 to 44 years old,3,1
26-35,1,1
(3-4),1,1
30 to 34 years old,11,7
35-59,1,1
35 to 39 years old,11,7
35 to 49 years old,1,1
36-45,1,1
40 to 44 years old,11,7
45 to 49 years old,11,7
45 to 54 years old,3,1
46-55,1,1
5 to 9 years old,2,2
50 to 54 years old,2,2
55 to 59 years old,2,2
55 to 64 years old,3,1
56 years old and over,1,1
6-13 years,2,2
60 to 64 years old,2,2
60 years old and over,2,2
65 to 69 years old,1,1
65 years old and over,5,3
70 to 74 years old,1,1
75 years old and over,1,1
under 18 years old,4,4
under 6 years old,2,2
