Value,Disaggregation combinations using this value,Number of indicators
IS_100MT1G,1,1
IS_10MT30M,1,1
IS_1MT2M,1,1
IS_256K,1,1
IS_2M,1,1
IS_2MT10M,1,1
IS_30MT100M,1,1
IS_512K,1,1
IS_GE1G,1,1
IS_GE2M,1,1
MOT_AIR,2,1
MOT_IWW_SEA,2,1
MOT_RAI,2,1
MOT_ROA,2,1
PWSM_PRIVATE,1,1
PWSM_PUBLIC,1,1
SKILL_MATH,11,1
SKILL_READ,9,1
WW_DOM,1,1
WW_DOM_SEW,1,1
WW_DOM_SPT,1,1
