Value,Disaggregation combinations using this value,Number of indicators
_L_KE_ISCO08_1111_03,1,1
_L_KE_ISCO08_1111_05,1,1
_L_KE_ISCO08_1111_06,1,1
ISCO08_221,1,1
ISCO08_2221_3221,1,1
ISCO08_2261,1,1
ISCO08_2262,1,1
ISCO08_2612,3,1
ISCO08_2619R,3,1
ISCO08_3213,1,1
