Value,Disaggregation combinations using this value,Number of indicators
2015,1,1
2016,13,8
2017,3,3
2018,15,5
2019,86,17
2020,13,6
2021,72,13
2022,275,54
2023,174,67
Baseline Data          (2009-2014),5,2
