Indicator,Disaggregation combinations using this value
#10-b-1,1
#15-a-1,1
#17-11-1,1
#17-17-1,1
#2-a-2,1
#3-b-2,1
#6-a-1,1
#7-a-1,1
#8-a-1,1
#9-1-2,2
#9-a-1,1
