Indicator,Disaggregation combinations using this value
#1-1-1,3
#1-2-1,13
#1-3-1,5
#1-4-1,4
#1-4-2,3
#1-5-4,1
#10-1-1,6
#10-2-1,11
#10-5-1,1
#11-b-1,1
#11-b-2,1
#12-7-1,1
#13-1-3,1
#13-2-1,1
#14-1-1,1
#14-3-1,1
#14-7-1,1
#15-3-1,1
#15-a-1,1
#16-1-3,5
#16-10-1,7
#16-2-3,2
#16-9-1,5
#17-13-1,1
#17-17-1,1
#2-1-1,3
#2-1-2,6
#2-2-1,5
#3-1-2,6
#3-2-1,5
#3-2-2,5
#3-7-1,3
#3-7-2,2
#3-a-1,3
#3-b-1,4
#4-2-1,3
#4-2-2,3
#4-a-1,1
#5-2-1,50
#5-2-2,10
#5-3-1,2
#5-3-2,10
#5-6-1,10
#5-a-1,3
#6-1-1,6
#6-2-1,12
#6-3-1,3
#7-1-1,4
#7-1-2,3
#7-a-1,1
#8-10-1,1
#8-5-2,15
#8-6-1,5
#8-7-1,13
