Indicator
#1-2-1
#1-2-2
#10-2-1
#16-1-1
#16-7-1
#17-8-1
#3-1-1
#3-1-2
#3-7-1
#3-7-2
#5-2-1
#5-2-2
#5-3-2
#5-4-1
#5-6-1
#8-10-2
#8-5-2
#8-7-1
