Disaggregation,Number of indicators,Number of values
AGE,21,42
COMPOSITE_BREAKDOWN,5,20
DISABILITY_STATUS,1,1
EDUCATION_LEV,5,10
INCOME_WEALTH_QUANTILE,2,2
OBS_STATUS,159,1
OCCUPATION,3,10
REF_AREA,4,4
SEX,41,2
UNIT_MULT,159,4
URBANISATION,41,3
