Value,Disaggregation combinations using this value,Number of indicators
Boolean or binary measure,1,1
Index,2,1
Kenyan Shillings to US Dollars,1,1
Kenyan Shillings,4,3
Metric Tons,3,1
Months,1,1
Number,35,5
Per million population,3,3
Percent,32,6
Ratio,12,1
USD,1,1
