Indicator
#1-5-2
#1-a-1
#1-b-1
#10-3-1
#10-7-1
#10-7-4
#10-c-1
#11-3-2
#11-5-2
#11-5-3
#11-6-2
#11-7-2
#11-a-1
#12-2-1
#12-2-2
#12-3-1
#12-5-1
#12-6-1
#12-8-1
#12-b-1
#12-c-1
#13-3-1
#13-b-1
#14-2-1
#14-6-1
#14-a-1
#14-b-1
#14-c-1
#15-2-1
#15-4-1
#15-4-2
#15-5-1
#15-6-1
#15-8-1
#15-9-1
#16-1-2
#16-2-1
#16-2-2
#16-3-1
#16-4-1
#16-5-2
#16-7-2
#16-a-1
#16-b-1
#17-10-1
#17-14-1
#17-15-1
#17-16-1
#17-18-1
#17-19-1
#17-2-1
#17-3-1
#17-7-1
#17-9-1
#2-2-3
#2-2-4
#2-3-1
#2-3-2
#2-4-1
#2-5-2
#2-b-1
#3-3-5
#3-4-1
#3-5-1
#3-5-2
#3-8-1
#3-9-1
#3-9-2
#3-9-3
#3-b-3
#3-d-1
#3-d-2
#4-4-1
#4-6-1
#4-7-1
#4-b-1
#5-1-1
#5-6-2
#5-a-2
#5-c-1
#8-4-1
#8-4-2
#8-5-1
#8-8-1
#8-9-2
#8-b-1
#9-3-1
#9-4-1
