Value,Disaggregation combinations using this value,Number of indicators
Grade 2/3,8,1
Lower secondary education,6,1
Middle-Level Colleges,1,1
Pre-primary education,2,2
"Primary education, sufficient for level completion",11,2
Primary education,4,3
Secondary education (lower and upper secondary education),1,1
Secondary,8,3
University,1,1
