Value,Disaggregation combinations using this value,Number of indicators
_L_KE_1,8,1
_L_KE_3,8,3
_L_KE_4,1,1
_L_KE_6,1,1
AGG_2_3,1,1
ISCED11_02,2,2
ISCED11_1,4,3
ISCED11_2,6,1
ISCED11A_1,11,2
