Indicator,Disaggregation combinations using this value
#1-3-1,1
#1-4-1,5
#1-4-2,1
#1-5-1,5
#1-5-4,1
#1-a-2,3
#11-5-1,5
#11-b-2,1
#12-a-1,1
#13-1-1,5
#13-1-3,1
#16-7-1,1
#2-a-1,1
#2-a-2,1
#2-c-1,5
#3-4-2,1
#3-6-1,1
#3-b-2,1
#4-1-2,10
#4-2-2,5
#4-3-1,5
#4-5-1,6
#4-a-1,3
#4-c-1,3
#5-5-1,4
#5-a-1,1
#5-b-1,5
#6-1-1,6
#6-2-1,12
#6-3-2,1
#6-4-2,1
#7-1-1,12
#7-1-2,12
#7-2-1,1
#7-3-1,1
#7-a-1,1
#7-b-1,1
