Year,Sex,Age,Value
2016,,,18.436463
2019,,,18.4
2020,,,14.6
2021,,,11.6
2022,,,12.3
2016,Female,,18.839249
2019,Female,,19.9
2020,Female,,14.4
2021,Female,,11.4
2022,Female,,12.0
2016,Male,,18.023139
2019,Male,,19.6
2020,Male,,14.3
2021,Male,,10.8
2022,Male,,12.3
2016,,under 6 years old,24.352123
2019,,under 6 years old,28.4
2020,,under 6 years old,19.3
2021,,under 6 years old,14.7
2022,,under 6 years old,15.9
2016,,6-13 years,24.878459
2019,,6-13 years,26.4
2020,,6-13 years,19.8
2021,,6-13 years,15.3
2022,,6-13 years,15.8
2016,,under 18 years old,20.159164
2019,,under 18 years old,21.6
2020,,under 18 years old,15.0
2021,,under 18 years old,11.4
2022,,under 18 years old,12.4
2016,,14-17 years,23.776905
2019,,14-17 years,26.0
2020,,14-17 years,18.6
2021,,14-17 years,14.3
2022,,14-17 years,15.1
2022,,15 to 24 years old,10.5
2016,,18-34 years,12.600076
2019,,18-34 years,14.1
2020,,18-34 years,10.6
2021,,18-34 years,7.8
2022,,18-34 years,9.6
2016,,15 to 64 years old,14.06327
2019,,15 to 64 years old,15.3
2020,,15 to 64 years old,11.3
2021,,15 to 64 years old,8.4
2022,,15 to 64 years old,9.7
2016,,65 years old and over,15.895684
2019,,65 years old and over,14.7
2020,,65 years old and over,10.0
2021,,65 years old and over,11.5
2022,,65 years old and over,12.2
