Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,27,,Normal value,Units,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg) [3.3.4]
2015,11,,Normal value,Units,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg) [3.3.4]
2016,14,,Normal value,Units,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg) [3.3.4]
2017,9,,Normal value,Units,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg) [3.3.4]
2018,8,,Normal value,Units,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg) [3.3.4]
2019,8,,Normal value,Units,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg) [3.3.4]
2020,8,,Normal value,Units,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg) [3.3.4]
2021,8,,Normal value,Units,"Per 100,000 population",Prevalence of hepatitis B surface antigen (HBsAg) [3.3.4]
