Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,182626,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2015,163824,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2016,147678,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2017,135100,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2018,151298,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2019,149320,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2020,151326,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2021,162369,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2022,173741,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2023,161307,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
2024,168424,,Normal value,Units,Metric Tons,Proportion of fish stocks within biologically sustainable levels (not overexploited) [14.4.1]
