Year,Value,SERIES
2014,19.8,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2015,19.8,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2016,19.8,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2017,21.5,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2018,21.8,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2019,21.8,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2020,21.5,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2021,21.5,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2022,23.2,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
2023,23.5,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
