Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,38.268,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2015,38.268,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2016,38.268,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2017,38.268,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2018,38.268,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2019,38.268,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2020,38.272,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2021,38.272,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2022,38.272,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2023,38.272,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2024,38.272,,Normal value,Units,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2014,34.576,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2015,34.576,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2016,34.576,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2017,34.576,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2018,34.576,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2019,34.576,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2020,34.577,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2021,34.577,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2022,34.577,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2023,34.577,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2024,34.577,,Normal value,Units,Percent,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
