Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,12.4,,Percent,Regulatory capital to assets (%) [10.5.1]
2016,12.8,,Percent,Regulatory capital to assets (%) [10.5.1]
2017,11.5,,Percent,Regulatory capital to assets (%) [10.5.1]
2018,13.2,,Percent,Regulatory capital to assets (%) [10.5.1]
2019,12.8,,Percent,Regulatory capital to assets (%) [10.5.1]
2020,12.3,,Percent,Regulatory capital to assets (%) [10.5.1]
2021,12.1,,Percent,Regulatory capital to assets (%) [10.5.1]
2022,12.0,,Percent,Regulatory capital to assets (%) [10.5.1]
2023,10.4,,Percent,Regulatory capital to assets (%) [10.5.1]
2024,11.7,,Percent,Regulatory capital to assets (%) [10.5.1]
2015,18.2,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2016,16.9,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2017,14.7,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2018,17.2,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2019,16.8,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2020,16.7,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2021,16.7,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2022,19.0,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2023,18.3,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2024,17.1,,Percent,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2015,12.4,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2016,17.8,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2017,27.1,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2018,21.2,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2019,21.3,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2020,21.6,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2021,18.4,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2022,23.9,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2023,25.7,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2024,27.8,,Percent,Non-performing loans net of provisions to capital (%) [10.5.1]
2015,6.0,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2016,8.6,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2017,9.9,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2018,12.0,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2019,12.0,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2020,14.1,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2021,13.1,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2022,11.1,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2023,12.3,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2024,13.6,,Percent,Non-performing loans to total gross loans (%) [10.5.1]
2015,4.0,,Percent,Return on assets (%) [10.5.1]
2016,3.8,,Percent,Return on assets (%) [10.5.1]
2017,3.2,,Percent,Return on assets (%) [10.5.1]
2018,3.4,,Percent,Return on assets (%) [10.5.1]
2019,3.3,,Percent,Return on assets (%) [10.5.1]
2020,2.1,,Percent,Return on assets (%) [10.5.1]
2021,3.3,,Percent,Return on assets (%) [10.5.1]
2022,3.7,,Percent,Return on assets (%) [10.5.1]
2023,2.9,,Percent,Return on assets (%) [10.5.1]
2024,3.2,,Percent,Return on assets (%) [10.5.1]
2015,2.7,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
2016,6.7,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
2017,2.4,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
2018,3.2,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
2019,-0.3,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
2020,-0.0,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
2021,-1.0,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
2022,-1.6,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
2023,-0.2,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
2024,0.3,,Percent,Net open position in foreign exchange to capital (%) [10.5.1]
