Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,7.0,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2015,5.0,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2016,7.0,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2017,9.0,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2018,2.0,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2019,8.0,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2020,6.8,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2021,5.8,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2022,6.5,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2023,8.2,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
2024,5.8,,Normal value,Units,"Per 100,000 population",Suicide mortality rate [3.4.2]
