Year,Value,GeoCode,UNIT_MEASURE,SERIES
2020,105,,Number,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
2021,54,,Number,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
2022,18,,Number,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
2023,64,,Number,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
2024,68,,Number,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
2020,1,,Number,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]"
2021,4,,Number,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]"
2022,3,,Number,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]"
2023,9,,Number,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]"
2024,4,,Number,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]"
2020,0,,Number,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists"
2021,0,,Number,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists"
2022,0,,Number,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists"
2023,0,,Number,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists"
2024,6,,Number,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists"
2020,2,,Number,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]"
2021,0,,Number,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]"
2022,0,,Number,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]"
2023,1,,Number,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]"
2024,2,,Number,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]"
2020,96,,Number,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists"
2021,36,,Number,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists"
2022,12,,Number,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists"
2023,5,,Number,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists"
2024,25,,Number,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists"
2020,0,,Number,"Number of cases of torture of human rights defenders, journalists and trade unionists"
2021,0,,Number,"Number of cases of torture of human rights defenders, journalists and trade unionists"
2022,0,,Number,"Number of cases of torture of human rights defenders, journalists and trade unionists"
2023,1,,Number,"Number of cases of torture of human rights defenders, journalists and trade unionists"
2024,17,,Number,"Number of cases of torture of human rights defenders, journalists and trade unionists"
2020,6,,Number,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists"
2021,14,,Number,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists"
2022,3,,Number,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists"
2023,48,,Number,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists"
2024,14,,Number,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists"
