Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,2.2,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2015,4.2,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2016,1.9,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2017,1.5,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2018,3.1,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2019,2.5,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2020,-2.8,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2021,5.6,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2022,3.0,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2023,3.7,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2024,2.9,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
