Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,362,,Normal value,Units,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2019,355,,Normal value,Units,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
