Year,Value,GeoCode,UNIT_MEASURE,SERIES
2017,35.5,,Percent,Proportion of bodies of water with good ambient water quality [6.3.2]
2020,86.5,,Percent,Proportion of bodies of water with good ambient water quality [6.3.2]
2024,87.0,,Percent,Proportion of bodies of water with good ambient water quality [6.3.2]
2020,33.3,,Percent,Proportion of open water bodies with good ambient water quality [6.3.2]
2017,30.5,,Percent,Proportion of river water bodies with good ambient water quality [6.3.2]
2020,90.4,,Percent,Proportion of river water bodies with good ambient water quality [6.3.2]
2017,42.2,,Percent,Proportion of groundwater bodies with good ambient water quality [6.3.2]
2020,90.3,,Percent,Proportion of groundwater bodies with good ambient water quality [6.3.2]
