Year,Value,UNIT_MEASURE,SERIES
2014,34.5,Percent,Proportion of children engaged in economic activity and household chores [8.7.1]
2016,13.1,Percent,Proportion of children engaged in economic activity and household chores [8.7.1]
2019,16.9,Percent,Proportion of children engaged in economic activity and household chores [8.7.1]
2020,13.9,Percent,Proportion of children engaged in economic activity and household chores [8.7.1]
2021,3.9,Percent,Proportion of children engaged in economic activity and household chores [8.7.1]
2022,3.1,Percent,Proportion of children engaged in economic activity and household chores [8.7.1]
2014,4552.3,Number,Number of children engaged in economic activity and household chores [8.7.1]
2016,2074.3,Number,Number of children engaged in economic activity and household chores [8.7.1]
2019,2693.2,Number,Number of children engaged in economic activity and household chores [8.7.1]
2020,2276.8,Number,Number of children engaged in economic activity and household chores [8.7.1]
2021,640.5,Number,Number of children engaged in economic activity and household chores [8.7.1]
2022,517.4,Number,Number of children engaged in economic activity and household chores [8.7.1]
