Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2019,21.9,,Normal value,Units,Percent,Participation rate in formal education and training
2024,55.9,,Normal value,Units,Percent,Participation rate in formal education and training
