Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,60.3,,Percent,Proportion of population using basic drinking water services [1.4.1]
2022,67.9,,Percent,Proportion of population using basic drinking water services [1.4.1]
2024,76.6,,Percent,Proportion of population using basic drinking water services [1.4.1]
2014,24.7,,Percent,Proportion of population using basic sanitation services [1.4.1]
2022,40.9,,Percent,Proportion of population using basic sanitation services [1.4.1]
2024,71.0,,Percent,Proportion of population using basic sanitation services [1.4.1]
2014,16.6,,Percent,Proportion of population using basic hygiene services
2022,51.3,,Percent,Proportion of population using basic hygiene services
2024,24.2,,Percent,Proportion of population using basic hygiene services
2016,33.8,,Percent,Proportion of population with access to electricity
2022,49.6,,Percent,Proportion of population with access to electricity
2024,65.5,,Percent,Proportion of population with access to electricity
2014,11.9,,Percent,Proportion of population using clean fuels and technologies
2016,14.6,,Percent,Proportion of population using clean fuels and technologies
2018,19.8,,Percent,Proportion of population using clean fuels and technologies
2019,25.4,,Percent,Proportion of population using clean fuels and technologies
2020,23.1,,Percent,Proportion of population using clean fuels and technologies
2021,27.2,,Percent,Proportion of population using clean fuels and technologies
2022,21.2,,Percent,Proportion of population using clean fuels and technologies
2024,34.4,,Percent,Proportion of population using clean fuels and technologies
