Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,11.0,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2015,12.4,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2016,10.6,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2017,6.4,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2018,6.8,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2019,7.5,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2020,8.2,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2021,9.2,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2022,9.3,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2023,8.8,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2024,9.1,,Normal value,Units,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
