Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,2.3,,Percent,"Personal transfers, received (% of GDP)"
2015,2.4,,Percent,"Personal transfers, received (% of GDP)"
2016,2.5,,Percent,"Personal transfers, received (% of GDP)"
2017,2.4,,Percent,"Personal transfers, received (% of GDP)"
2018,3.0,,Percent,"Personal transfers, received (% of GDP)"
2019,2.8,,Percent,"Personal transfers, received (% of GDP)"
2020,3.1,,Percent,"Personal transfers, received (% of GDP)"
2021,3.4,,Percent,"Personal transfers, received (% of GDP)"
2022,3.6,,Percent,"Personal transfers, received (% of GDP)"
2023,3.9,,Percent,"Personal transfers, received (% of GDP)"
2024,4.2,,Percent,"Personal transfers, received (% of GDP)"
2014,-10.4,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2015,-6.9,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2016,-5.8,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2017,-7.0,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2018,-5.4,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2019,-5.2,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2020,-3.3,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2021,-4.6,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2022,-4.2,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2023,-2.5,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2024,-1.3,,Percent,Current account balance as a proportion of GDP (%) [17.13.1]
2014,1.3,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2015,0.9,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2016,0.6,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2017,1.6,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2018,0.8,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2019,0.5,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2020,0.0,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2021,0.4,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2022,0.7,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2023,0.5,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2024,0.4,,Percent,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]"
2014,-3716.9,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2015,155.1,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2016,377.5,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2017,731.1,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2018,-649.0,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2019,-458.1,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2020,1313.3,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2021,199.5,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2022,706.7,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2023,463.3,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2024,129.0,,USD,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]"
2014,5.0,,Months,Total reserves in months of imports
2015,4.8,,Months,Total reserves in months of imports
2016,5.0,,Months,Total reserves in months of imports
2017,5.0,,Months,Total reserves in months of imports
2018,5.3,,Months,Total reserves in months of imports
2019,5.5,,Months,Total reserves in months of imports
2020,4.9,,Months,Total reserves in months of imports
