Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,27.9,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on income
2017,27.5,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on income
2018,24.9,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on income
2019,23.8,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on income
2020,27.2,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on income
2021,25.4,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on income
2022,29.3,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on income
2023,29.9,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on income
2016,14.3,,Normal value,Units,Percent,Proportion of domestic budget funded by value added tax
2017,14.9,,Normal value,Units,Percent,Proportion of domestic budget funded by value added tax
2018,13.9,,Normal value,Units,Percent,Proportion of domestic budget funded by value added tax
2019,14.4,,Normal value,Units,Percent,Proportion of domestic budget funded by value added tax
2020,14.8,,Normal value,Units,Percent,Proportion of domestic budget funded by value added tax
2021,15.0,,Normal value,Units,Percent,Proportion of domestic budget funded by value added tax
2022,17.5,,Normal value,Units,Percent,Proportion of domestic budget funded by value added tax
2023,17.5,,Normal value,Units,Percent,Proportion of domestic budget funded by value added tax
2016,13.6,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on other goods and services
2017,11.0,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on other goods and services
2018,10.7,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on other goods and services
2019,10.2,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on other goods and services
2020,11.2,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on other goods and services
2021,12.8,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on other goods and services
2022,12.2,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on other goods and services
2023,11.9,,Normal value,Units,Percent,Proportion of domestic budget funded by tax on other goods and services
2016,5.1,,Normal value,Units,Percent,Proportion of domestic budget funded by taxes on international trade
2017,5.8,,Normal value,Units,Percent,Proportion of domestic budget funded by taxes on international trade
2018,5.4,,Normal value,Units,Percent,Proportion of domestic budget funded by taxes on international trade
2019,5.3,,Normal value,Units,Percent,Proportion of domestic budget funded by taxes on international trade
2020,5.8,,Normal value,Units,Percent,Proportion of domestic budget funded by taxes on international trade
2021,6.5,,Normal value,Units,Percent,Proportion of domestic budget funded by taxes on international trade
2022,6.9,,Normal value,Units,Percent,Proportion of domestic budget funded by taxes on international trade
2023,5.9,,Normal value,Units,Percent,Proportion of domestic budget funded by taxes on international trade
2014,59.6,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2015,53.0,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2016,58.2,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2017,59.1,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2018,54.8,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2019,64.0,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2020,59.0,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2021,59.7,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2022,65.9,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2023,65.3,,Normal value,Units,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
